,T10Y3M,T10Y3M_1,T10Y3M_2,T10Y3M_3,T10Y3M_4,T10Y3M_5,T10Y3M_6,T10Y3M_7,T10Y3M_8,T10Y3M_9,T10Y3M_10,T10Y3M_11,T10Y3M_12,T10Y3M_13,T10Y3M_14,T10Y3M_15,T10Y3M_16,T10Y3M_17,T10Y3M_18,T10Y3M_19,T10Y3M_20,T10Y3M_21,T10Y3M_22,T10Y3M_23,T10Y3M_24,T10Y3M_25,T10Y3M_26,T10Y3M_27,T10Y3M_28,T10Y3M_29,T10Y3M_30,T10Y3M_31,T10Y3M_32,T10Y3M_33,T10Y3M_34,T10Y3M_35,T10Y3M_36,T10Y3M_37,T10Y3M_38,T10Y3M_39,T10Y3M_40,T10Y3M_41,T10Y3M_42,T10Y3M_43,T10Y3M_44,T10Y3M_45,T10Y3M_46,T10Y3M_47,T10Y3M_48,T10Y3M_49,T10Y3M_50,T10Y3M_51,T10Y3M_52,T10Y3M_53,T10Y3M_54,T10Y3M_55,T10Y3M_56,T10Y3M_57,T10Y3M_58,T10Y3M_59,T10Y3M_60,T10Y3M_61,T10Y3M_62,T10Y3M_63,T10Y3M_64,T10Y3M_65,T10Y3M_66,T10Y3M_67,T10Y3M_68,T10Y3M_69,T10Y3M_70,T10Y3M_71,T10Y3M_72,T10Y3M_73,T10Y3M_74,T10Y3M_75,T10Y3M_76,T10Y3M_77,T10Y3M_78,T10Y3M_79,T10Y3M_80,T10Y3M_81,T10Y3M_82,T10Y3M_83,T10Y3M_84,T10Y3M_85,T10Y3M_86,T10Y3M_87,T10Y3M_88,T10Y3M_89
1982-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982-04-01,0.21,3.75,0.0,-1.0,-0.5,-0.33,-0.42,0.06,-0.15,0.27,0.24,0.32,0.47,-0.52,-0.19,-0.1,0.18,-0.05,-0.05,-0.05,-0.2,-0.03,-0.04,-0.23,0.1,0.11,0.12,-0.04,-0.1,0.62,-0.5,0.0,0.0,0.0,-0.08,0.08,0.04,0.35,0.43,0.76,3.19,-1.23,-0.63,-0.16,0.0,0.0,0.0,0.0,-1.0,4.0,-2.75,-1.25,0.6,1.5,-3.0,-0.95,6.6,-3.5,-0.89,-1.84,-0.65,-0.39,-0.27,0.31,0.25,0.59,-0.23,-0.19,-0.16,0.09,-0.25,-0.22,0.25,-0.16,-0.13,-0.12,0.36,-0.28,0.01,-0.09,-0.03,-0.02,-0.02,0.02,0.01,0.08,-0.03,0.0,0.0,0.0
1982-07-01,0.17,0.33,-0.12,0.01,0.01,0.01,-0.2,0.04,-0.17,-0.15,0.05,0.05,0.05,-0.02,0.08,-0.04,-0.04,-0.01,-0.01,-0.01,-0.08,0.09,0.15,-0.03,0.01,0.01,0.01,-0.06,0.09,-0.15,0.0,-1.0,-0.5,-0.33,0.05,0.01,0.06,-0.03,0.01,0.01,0.01,0.0,0.31,0.62,0.31,-0.01,-0.01,-0.01,0.06,-0.02,0.1,0.75,-0.18,-0.15,-0.13,0.0,0.12,0.52,-0.45,-0.14,-0.12,-0.11,0.07,-0.01,0.03,0.25,-0.1,-0.09,-0.08,-0.03,-0.25,0.48,0.05,0.07,0.07,0.08,0.14,-0.14,0.02,0.25,0.5,1.0,0.0,-1.0,-0.37,-0.07,0.02,0.26,0.36,0.56
1982-10-01,0.02,-0.03,-0.04,-0.01,-0.01,-0.01,-0.01,-0.04,-0.01,0.04,-0.03,0.01,0.01,0.01,-0.0,0.03,-0.05,0.04,0.01,0.01,0.01,0.03,0.01,0.02,0.0,-1.0,-0.5,-0.33,0.02,-0.02,-0.01,-0.06,-0.02,-0.02,-0.02,-0.1,0.09,0.06,-0.05,-0.01,-0.01,-0.01,0.05,0.12,-0.02,0.05,0.04,0.05,0.05,-0.06,0.14,0.02,-0.05,0.03,0.03,0.03,-0.11,-0.01,0.07,-0.1,0.06,0.06,0.06,0.09,0.12,-0.07,-0.1,0.02,0.02,0.02,0.06,0.11,-0.0,0.12,0.02,0.02,0.02,0.11,0.16,0.02,-0.07,-0.02,-0.02,-0.02,0.02,0.45,-0.09,0.0,-1.0,-0.5
1983-01-01,-0.0,0.0,0.05,-0.03,-0.07,0.5,1.0,0.0,-1.0,-0.03,-0.01,-0.07,0.01,0.01,0.01,0.01,-0.05,0.04,0.08,-0.0,-0.0,-0.0,0.0,-0.01,0.04,-0.02,-0.01,-0.01,-0.01,0.0,0.08,-0.02,-0.0,-0.01,-0.01,-0.01,0.0,-1.0,0.03,0.06,0.02,0.02,0.02,0.07,-0.02,-0.02,0.06,-0.03,-0.03,-0.03,0.0,-1.0,-0.05,-0.06,-0.01,-0.01,-0.01,0.0,0.01,0.0,-1.0,-0.01,-0.01,-0.01,-0.02,-0.01,-0.0,-0.12,0.01,0.01,0.01,0.02,-0.0,0.02,-0.03,-0.0,-0.0,-0.0,0.05,0.04,-0.07,0.0,-1.0,-0.5,-0.33,-0.01,-0.09,-0.02,-0.07,-0.04
1983-04-01,-1.0,0.03,-0.01,-0.01,0.0,0.0,0.0,-0.06,-0.03,0.07,-0.06,-0.01,-0.01,-0.01,-0.05,0.01,0.01,-0.03,-0.01,-0.01,-0.01,0.01,0.05,0.0,-0.02,-0.01,-0.01,-0.01,0.0,0.01,0.0,-0.05,-0.02,-0.02,-0.02,-0.02,0.01,-0.04,0.0,-1.0,-0.5,-0.33,0.0,0.0,0.04,-0.01,-0.02,-0.02,-0.02,0.0,-0.03,0.01,-0.02,-0.0,-0.0,-0.0,-0.01,0.03,0.04,-0.05,-0.0,-0.0,-0.0,0.03,0.02,0.01,-0.01,0.0,0.0,0.0,-0.03,-0.03,0.03,-0.01,-0.01,-0.01,-0.01,0.06,-0.01,-0.01,-0.01,0.01,0.01,0.01,0.07,0.04,0.0,-0.03,-0.0,-0.0
1983-07-01,0.04,0.01,0.05,-0.02,0.03,0.03,0.03,0.01,0.07,0.01,-0.01,-0.04,-0.04,-0.04,0.01,-0.01,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,0.03,0.04,-0.08,-0.02,-0.02,-0.02,-0.01,0.05,0.01,0.0,-1.0,-0.5,-0.33,0.02,0.01,0.0,-0.04,-0.04,-0.04,-0.04,0.01,0.01,0.02,0.03,0.0,0.0,0.0,0.02,-0.03,0.04,0.02,-0.01,-0.01,-0.01,0.03,0.0,-0.06,0.0,0.01,0.01,0.01,-0.01,0.01,-0.02,-0.02,-0.0,-0.0,-0.0,-0.01,0.0,0.04,-0.01,0.01,0.01,0.01,0.02,-0.02,-0.01,-0.02,0.01,0.01,0.01,0.03,0.03,0.05,0.04,0.5,1.0
1983-10-01,-0.01,0.06,-0.05,0.0,0.0,0.01,0.01,0.01,0.0,-0.02,0.03,-0.03,0.01,0.01,0.01,-0.05,0.03,0.06,0.0,-0.0,-0.0,-0.0,-0.04,0.04,-0.02,0.0,-1.0,-0.5,-0.33,-0.0,0.02,0.06,-0.01,0.02,0.02,0.02,-0.01,0.04,0.02,0.0,-0.0,-0.0,-0.0,0.0,0.05,0.02,-0.03,-0.02,-0.02,-0.02,0.0,-0.06,0.0,-0.05,0.01,0.01,0.01,0.0,0.06,0.11,-0.11,0.0,0.0,0.0,0.02,0.02,0.03,0.02,0.0,0.0,0.0,0.05,0.02,-0.01,-0.05,0.0,0.0,0.0,0.0,-0.01,0.02,0.02,0.0,0.0,0.0,0.03,0.01,-0.04,0.0,-1.0
1984-01-01,-0.5,-0.33,0.02,-0.01,0.0,0.0,-1.0,-0.5,-0.33,-0.02,0.02,0.01,0.01,0.0,0.0,0.0,-0.01,-0.02,0.0,-0.03,0.0,0.0,0.0,0.02,0.01,0.01,-0.01,0.0,0.0,0.0,0.05,-0.01,0.01,-0.01,-0.01,-0.01,-0.01,0.0,-1.0,-0.01,-0.03,0.0,0.0,0.0,0.0,-0.02,-0.0,0.0,0.5,1.0,0.0,-1.0,-0.03,0.0,-1.0,0.0,0.0,0.0,-0.03,-0.03,-0.0,-0.01,0.02,0.02,0.02,0.02,-0.02,0.01,0.03,0.01,0.01,0.01,-0.01,-0.02,0.0,0.02,0.02,0.02,0.02,-0.01,0.02,0.02,0.0,-1.0,-0.5,-0.33,0.02,0.0,-0.05,0.05
1984-04-01,0.01,0.01,0.04,0.01,0.01,-0.03,0.0,0.0,0.0,0.01,0.03,0.0,-0.09,-0.0,-0.0,-0.0,0.01,-0.01,-0.02,-0.01,0.01,0.01,0.01,-0.01,-0.0,0.02,-0.01,0.01,0.01,0.01,-0.02,-0.01,0.02,0.0,0.01,0.01,0.01,0.02,-0.0,0.0,0.0,-1.0,-0.5,-0.33,0.0,0.01,-0.02,0.0,-1.0,-0.5,-0.33,0.03,0.04,-0.01,0.04,-0.01,-0.01,-0.01,-0.02,-0.03,-0.01,-0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,-0.04,-0.01,-0.01,-0.01,0.02,0.0,0.01,-0.02,-0.0,-0.0,-0.0,0.01,0.02,-0.03,0.0
1984-07-01,0.02,0.02,-0.01,-0.02,0.01,-0.0,0.01,0.01,0.01,0.04,0.01,0.09,0.05,-0.0,-0.0,-0.0,-0.05,-0.02,0.03,-0.03,-0.01,-0.01,-0.01,-0.03,-0.02,0.05,0.01,-0.03,-0.03,-0.03,-0.09,-0.02,0.01,0.0,-1.0,-0.5,-0.33,0.05,0.13,0.05,-0.09,0.01,0.01,0.01,-0.04,0.03,0.1,-0.08,0.02,0.02,0.02,0.02,0.07,0.06,-0.05,-0.0,-0.0,-0.0,-0.01,0.01,0.02,0.01,0.0,0.0,0.0,-0.02,0.03,-0.01,-0.03,0.5,1.0,0.0,-1.0,0.04,0.06,-0.01,-0.0,-0.0,-0.0,0.03,-0.04,-0.01,-0.0,0.01,0.01,0.01,-0.0,-0.01,0.01,-0.02
1984-10-01,0.01,0.01,0.01,0.06,-0.04,-0.02,0.03,0.0,0.0,0.0,0.1,0.04,-0.03,0.01,-0.01,-0.01,-0.01,-0.04,-0.02,0.0,-0.03,0.01,0.01,0.01,-0.03,-0.04,0.06,0.0,-1.0,-0.5,-0.33,-0.01,0.02,0.01,0.01,-0.01,-0.01,-0.01,-0.03,0.0,0.02,-0.02,-0.03,-0.02,-0.02,-0.03,-0.05,0.09,0.05,0.01,0.01,0.01,0.03,0.0,0.02,-0.02,0.01,0.01,0.01,-0.07,-0.06,-0.06,-0.09,0.01,0.01,0.01,0.01,-0.07,-0.09,-0.04,-0.01,-0.01,-0.01,0.02,-0.03,0.01,-0.05,-0.0,-0.0,-0.0,-0.01,-0.02,0.02,-0.03,-0.03,-0.03,-0.03,-0.01,0.0,-1.0
1985-01-01,-1.0,-0.0,-0.0,-0.0,-0.02,-0.01,0.0,-1.0,0.01,0.01,0.01,0.0,-0.02,0.05,-0.01,0.01,0.01,0.01,0.02,0.05,0.01,-0.02,-0.01,-0.01,-0.01,0.08,0.03,0.01,-0.05,0.0,0.0,0.0,0.03,0.03,0.04,0.04,0.0,0.0,0.0,0.0,-1.0,-0.02,-0.03,-0.01,-0.01,-0.01,0.01,0.01,-0.0,0.0,-1.0,-0.5,-0.33,0.01,-0.05,0.0,-1.0,0.04,0.04,0.04,0.01,-0.06,0.1,-0.04,0.0,0.0,0.0,-0.01,0.03,0.14,-0.01,-0.0,-0.0,-0.0,0.01,-0.01,0.03,0.01,-0.01,-0.01,-0.01,0.02,0.04,0.02,0.0,-1.0,-0.5,-0.33,-0.06,0.0
1985-04-01,0.0,0.0,0.0,-0.02,0.02,0.03,0.0,0.01,0.01,0.01,-0.0,0.0,-0.02,-0.02,-0.0,-0.0,-0.0,0.12,-0.04,0.02,0.0,0.01,0.01,0.01,0.0,-0.03,0.02,-0.01,0.0,0.0,0.0,-0.07,-0.01,0.02,0.0,-0.0,-0.0,-0.0,0.06,-0.03,0.03,0.0,-1.0,-0.5,-0.33,0.04,-0.02,0.0,-1.0,0.01,0.01,0.01,-0.03,-0.01,0.04,-0.0,0.01,0.01,0.01,-0.01,-0.05,-0.01,-0.04,-0.01,-0.01,-0.01,0.01,-0.04,0.0,0.0,-1.0,-0.5,-0.33,-0.03,-0.01,0.0,-0.04,0.01,0.01,0.01,0.03,-0.01,0.04,-0.01,-0.01,-0.01,-0.01,0.01,-0.01,0.0
1985-07-01,-0.01,-0.01,-0.01,-0.02,-0.02,0.05,0.01,0.01,0.01,0.01,-0.0,-0.0,0.02,0.02,-0.01,-0.01,-0.01,0.02,0.06,0.05,0.01,-0.02,-0.02,-0.02,0.04,-0.0,-0.06,0.02,-0.01,-0.01,-0.01,-0.02,-0.0,0.0,0.0,-1.0,-0.5,-0.33,0.0,0.02,0.01,0.0,-0.02,-0.01,-0.01,0.0,-0.0,0.07,-0.02,0.0,0.0,0.0,-0.05,0.01,0.01,-0.02,-0.0,-0.0,-0.0,-0.01,0.0,-0.01,-0.02,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.01,-0.02,-0.02,0.06,0.01,-0.01,-0.01,-0.01,0.0,-0.03,-0.03,-0.02,0.5,1.0,0.0,-1.0,0.02,0.03
1985-10-01,-0.0,0.5,1.0,0.0,-1.0,-0.04,-0.03,0.0,0.02,0.02,0.02,0.0,0.01,0.04,0.01,0.0,0.0,0.0,-0.03,0.0,0.01,0.01,-0.0,-0.0,-0.0,0.03,0.01,-0.0,0.0,-1.0,-0.5,-0.33,0.02,-0.01,0.01,-0.01,0.0,0.0,0.0,0.01,-0.01,0.0,-0.01,-0.01,-0.01,-0.01,-0.0,-0.04,-0.01,0.01,0.01,0.01,0.01,-0.02,-0.04,-0.0,0.01,0.0,0.0,0.0,0.04,-0.02,-0.03,-0.01,0.0,0.0,0.0,0.02,0.03,0.02,0.0,0.01,0.01,0.01,0.0,0.0,-0.0,-0.01,0.0,0.0,0.0,-0.01,0.01,0.01,-0.01,-0.0,-0.0,-0.0,0.0,-1.0
1986-01-01,-1.0,-0.07,0.01,0.01,0.01,0.0,0.0,-1.0,0.01,0.0,0.0,0.0,0.0,0.01,-0.03,-0.05,-0.02,-0.02,-0.02,0.03,0.02,-0.02,-0.05,-0.02,-0.02,-0.02,0.02,-0.02,-0.02,0.01,-0.0,-0.0,-0.0,0.0,-1.0,-0.01,0.0,0.01,0.01,0.01,0.04,-0.05,-0.02,0.02,-0.01,-0.01,-0.01,0.02,0.01,-0.01,0.0,-1.0,-0.5,-0.33,0.0,-0.03,-0.0,-0.02,-0.01,-0.01,-0.01,-0.02,0.02,-0.04,-0.05,0.01,0.01,0.01,0.03,-0.01,-0.02,0.0,-0.0,-0.0,-0.0,-0.02,-0.01,-0.01,0.0,-1.0,-0.5,-0.33,0.01,-0.02,-0.01,-0.04,-0.0,-0.0,-0.0,0.01
1986-04-01,-0.01,0.5,1.0,0.0,-1.0,-0.07,-0.09,0.04,-0.03,-0.03,-0.03,0.04,0.01,0.04,0.09,0.01,0.01,0.01,0.03,0.12,-0.09,-0.02,-0.07,-0.06,-0.06,0.01,0.09,0.21,0.09,-0.04,-0.03,-0.03,0.0,-0.16,-0.05,-0.03,-0.04,-0.04,-0.03,-0.04,-0.04,-0.01,0.0,-1.0,-0.5,-0.33,-0.05,-0.03,-0.01,0.01,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,0.03,0.0,-0.04,-0.02,-0.02,-0.01,-0.01,0.0,-0.0,0.04,0.0,-1.0,-0.5,-0.33,-0.04,0.05,-0.03,-0.03,0.01,0.01,0.01,0.05,0.08,0.03,-0.06,0.0,0.0,0.0,0.03,0.0
1986-07-01,-0.02,0.01,0.01,0.01,0.02,0.0,-0.04,-0.03,-0.02,-0.02,-0.02,-0.06,0.08,-0.04,0.03,-0.01,-0.01,-0.01,-0.09,0.02,-0.08,0.02,0.03,0.03,0.03,-0.1,-0.04,0.06,-0.1,0.04,0.04,0.04,0.04,0.11,-0.02,0.0,-1.0,-0.5,-0.33,-0.01,-0.01,0.03,-0.08,0.0,0.0,0.0,0.1,0.04,0.02,0.01,0.03,0.03,0.03,0.06,-0.02,-0.02,0.02,0.01,0.01,0.01,0.02,0.05,-0.01,-0.07,-0.02,-0.02,-0.02,0.03,0.12,-0.04,0.13,-0.02,-0.02,-0.02,0.03,-0.02,-0.16,0.13,-0.02,-0.02,-0.02,0.13,-0.05,0.08,0.0,-0.01,-0.01,-0.01,0.17,0.11
1986-10-01,-0.01,-0.01,0.01,0.01,0.01,-0.0,0.0,-0.04,-0.02,-0.01,-0.01,-0.01,0.01,0.02,-0.03,0.02,-0.02,-0.02,-0.02,0.05,0.08,0.02,0.01,0.01,0.01,0.01,0.07,0.0,0.07,0.0,-1.0,-0.5,-0.33,0.02,0.01,0.04,-0.06,0.01,0.01,0.01,0.08,0.07,0.03,-0.05,-0.01,-0.01,-0.01,0.01,-0.01,-0.03,0.04,-0.01,-0.01,-0.01,-0.08,-0.02,0.05,0.05,0.01,0.01,0.01,0.01,-0.01,0.01,-0.05,0.03,0.03,0.03,-0.01,0.05,0.0,0.05,-0.01,-0.01,-0.01,0.02,0.0,0.03,-0.07,-0.02,-0.02,-0.02,0.07,0.02,-0.05,0.05,0.5,1.0,0.0,-1.0
1987-01-01,-1.0,0.01,0.03,-0.0,-0.0,-0.0,0.0,-1.0,-0.02,-0.03,-0.01,-0.01,-0.01,0.07,0.02,-0.04,-0.07,0.0,0.0,0.0,0.01,0.05,-0.02,0.0,-0.02,-0.02,-0.02,0.05,-0.03,-0.01,-0.06,0.0,0.0,0.0,0.0,-1.0,0.0,0.02,-0.02,-0.02,-0.02,0.0,-0.03,-0.03,0.07,-0.02,-0.02,-0.02,-0.02,-0.01,0.0,-1.0,-0.02,-0.02,-0.02,0.01,0.04,-0.04,-0.01,-0.01,-0.01,-0.01,0.01,-0.04,-0.02,0.01,0.0,0.0,0.0,0.01,-0.01,-0.03,-0.04,0.01,0.01,0.01,-0.02,0.0,-0.01,0.0,-1.0,-0.5,-0.33,0.01,0.0,0.02,-0.0,0.0,0.0,0.0
1987-04-01,0.09,0.02,0.03,0.04,0.04,0.01,-0.01,0.03,0.02,-0.02,-0.02,-0.02,-0.01,0.01,0.04,0.05,-0.0,-0.0,-0.0,0.02,0.0,0.0,-0.03,0.0,0.0,0.0,-0.04,0.01,-0.03,-0.03,-0.01,-0.01,-0.01,-0.01,0.0,0.01,-0.03,-0.0,-0.0,-0.0,0.02,0.06,0.06,0.0,-1.0,-0.5,-0.33,0.03,0.07,0.0,-0.02,0.0,0.0,0.0,-0.06,0.01,-0.04,0.03,0.01,0.01,0.01,-0.05,-0.01,-0.01,-0.01,0.0,0.0,0.0,0.01,-0.03,-0.01,0.0,-1.0,-0.5,-0.33,-0.01,-0.02,0.01,0.04,0.01,0.01,0.01,0.01,-0.01,0.04,0.03,-0.03,-0.03,-0.02,0.0
1987-07-01,0.03,0.0,0.01,0.01,0.01,0.08,-0.03,-0.02,-0.02,-0.01,-0.01,-0.01,0.01,0.02,-0.03,0.02,-0.02,-0.02,-0.02,-0.07,-0.04,0.01,0.07,0.01,0.01,0.01,-0.04,-0.01,-0.0,0.1,-0.01,-0.01,-0.01,-0.04,0.03,-0.02,0.0,-1.0,-0.5,-0.33,-0.04,0.04,0.04,0.11,-0.0,-0.0,-0.0,-0.0,-0.07,0.03,0.01,0.0,0.0,0.0,-0.03,-0.02,0.17,-0.07,0.01,0.01,0.01,0.04,0.02,0.08,-0.05,-0.02,-0.02,-0.02,-0.07,0.03,0.05,0.02,0.5,1.0,0.0,-1.0,0.03,0.03,0.17,-0.02,-0.02,-0.02,0.05,-0.05,0.0,0.03,-0.01,-0.01,-0.01,0.01
1987-10-01,0.0,0.03,0.0,-0.01,-0.01,-0.01,-0.02,0.06,0.02,-0.03,-0.0,-0.0,-0.0,-0.05,-0.03,0.03,0.04,0.0,0.0,0.0,-0.04,0.02,-0.0,0.0,-1.0,-0.5,-0.33,-0.07,-0.03,0.1,0.07,0.01,0.01,0.01,0.03,0.04,-0.01,-0.02,-0.01,-0.01,-0.01,0.02,-0.04,0.0,0.05,-0.01,-0.01,-0.01,-0.02,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.05,0.05,-0.04,0.08,0.02,0.02,0.02,0.02,-0.06,-0.01,-0.02,-0.01,-0.01,-0.01,-0.03,0.0,0.03,-0.03,0.01,0.01,0.01,-0.01,-0.01,0.03,0.0,0.01,0.01,0.01,-0.01,0.0,0.03,0.02,0.5,1.0,0.0
1988-01-01,-1.0,0.03,0.02,-0.06,0.5,1.0,0.0,-1.0,0.01,0.01,0.02,-0.01,-0.01,-0.01,-0.03,0.01,-0.03,-0.06,-0.01,-0.01,-0.01,0.04,0.03,-0.0,0.01,-0.03,-0.03,-0.03,-0.03,0.02,0.02,-0.08,0.03,0.03,0.03,0.0,-1.0,0.05,0.05,-0.01,-0.01,-0.01,-0.04,0.03,0.04,0.03,-0.0,-0.0,-0.0,-0.02,0.0,-1.0,0.03,0.0,0.0,0.0,-0.04,-0.06,0.01,-0.01,-0.03,-0.03,-0.03,-0.07,-0.02,0.07,0.05,-0.01,-0.01,-0.01,0.02,-0.02,0.05,-0.04,0.04,0.05,0.05,0.07,0.06,-0.07,0.0,-1.0,-0.5,-0.33,0.0,0.0,-0.01,0.06,0.01,0.01
1988-04-01,-1.0,0.02,0.0,-0.0,0.01,0.01,0.01,0.02,0.03,-0.02,-0.02,-0.0,-0.0,-0.0,0.02,-0.02,0.02,0.05,0.0,0.0,0.0,-0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.0,-0.0,0.0,-0.01,-0.01,-0.01,0.0,0.02,0.01,-0.01,-0.0,-0.0,-0.0,-0.0,0.0,0.02,0.0,-1.0,-0.5,-0.33,0.0,0.01,-0.03,0.01,0.01,0.01,0.01,-0.04,0.04,0.01,-0.05,-0.01,-0.01,-0.01,-0.01,0.0,-0.03,0.05,-0.01,-0.01,-0.01,-0.02,-0.03,0.06,0.0,-1.0,-0.5,-0.33,-0.09,-0.04,-0.01,-0.03,0.01,0.01,0.01,0.01,0.03,0.06,-0.04,0.5,1.0
1988-07-01,-0.02,-0.02,0.02,-0.05,0.0,0.0,0.0,-0.01,-0.01,-0.04,-0.06,-0.0,-0.0,-0.0,0.02,0.1,0.01,-0.05,-0.0,-0.0,-0.0,-0.02,-0.0,-0.03,0.04,-0.0,-0.0,-0.0,-0.05,0.03,-0.07,0.0,-1.0,-0.5,-0.33,0.0,-0.03,-0.01,-0.01,-0.0,-0.0,-0.0,-0.02,0.02,0.06,0.01,-0.0,-0.0,-0.0,-0.0,0.02,0.02,0.01,-0.0,-0.0,-0.0,-0.01,-0.01,0.0,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.01,0.0,-0.0,0.02,0.01,0.01,0.01,-0.03,0.09,0.02,0.05,0.01,0.01,0.01,-0.02,-0.0,-0.04,-0.06,0.5,1.0
1988-10-01,-0.01,-0.05,-0.02,0.01,0.01,-0.01,-0.01,-0.01,-0.01,0.01,-0.01,-0.04,0.01,0.01,0.01,0.03,0.01,-0.03,0.03,0.02,0.02,0.02,-0.01,0.01,-0.04,0.0,-1.0,-0.5,-0.33,-0.1,0.01,-0.01,0.0,-0.02,-0.01,-0.01,-0.06,0.0,-0.01,-0.05,-0.0,-0.0,-0.0,-0.02,-0.01,0.03,-0.03,0.0,0.0,0.0,0.0,0.01,0.09,-0.06,0.01,0.01,0.01,0.02,0.01,0.02,-0.02,-0.0,-0.0,-0.0,0.0,0.02,-0.04,-0.02,-0.02,-0.02,-0.02,-0.0,-0.01,-0.0,-0.02,0.02,0.02,0.02,-0.01,-0.01,0.02,-0.02,0.0,0.0,0.0,-0.01,0.0,0.06,0.0,-1.0
1989-01-01,-0.5,-0.33,0.0,0.17,-0.03,0.0,-1.0,-0.5,-0.33,-0.01,0.07,0.13,-0.09,-0.03,-0.03,-0.03,0.03,-0.09,0.01,-0.13,-0.01,-0.01,-0.01,0.22,0.04,0.01,-0.13,-0.0,-0.0,-0.0,-0.06,-0.07,0.12,-0.03,0.01,0.01,0.01,0.0,-1.0,-0.02,0.05,-0.03,-0.03,-0.03,-0.02,0.1,0.13,-0.19,0.5,1.0,0.0,-1.0,-0.08,0.03,-0.09,0.0,0.0,0.0,0.11,-0.07,0.02,0.07,-0.01,-0.01,-0.01,-0.02,-0.04,-0.01,0.08,-0.02,-0.02,-0.02,0.05,-0.04,-0.03,-0.02,-0.01,-0.01,-0.01,-0.01,-0.05,0.1,0.0,-1.0,-0.5,-0.33,-0.1,-0.06,0.01,0.04
