Date,CPIAUCSL_PC1,CPIAUCSL_PC1_1,CPIAUCSL_PC1_2,FEDFUNDS,FEDFUNDS_1,FEDFUNDS_2,INDPRO,INDPRO_1,INDPRO_2,PAYNSA_PC1,PAYNSA_PC1_1,PAYNSA_PC1_2
1982-01-01,-0.07,-0.07,-0.07,0.07,-0.07,-0.12,-0.02,-0.01,-0.01,5.0,-1.2,-0.5
1982-04-01,-0.04,-0.09,-0.08,0.02,-0.01,0.12,-0.01,-0.01,0.02,0.44,0.5,0.0
1982-07-01,-0.08,0.04,0.05,-0.11,-0.02,-0.03,-0.0,-0.0,-0.01,0.22,0.38,0.0
1982-10-01,0.02,-0.18,-0.09,-0.06,0.02,-0.2,-0.01,-0.0,-0.01,0.13,0.0,0.09
1983-01-01,-0.03,-0.16,-0.1,-0.03,-0.03,-0.05,0.02,-0.01,-0.0,-0.25,-0.08,-0.04
1983-04-01,0.11,0.03,-0.05,0.0,0.03,-0.02,0.01,0.01,-0.01,-0.4,-0.21,0.06
1983-07-01,-0.04,-0.26,-0.15,0.04,0.04,-0.02,0.02,0.01,0.01,4.0,-1.4,-0.44
1983-10-01,0.0,0.12,0.04,0.0,-0.01,0.02,0.01,0.02,0.01,0.26,1.56,-0.1
1984-01-01,0.13,0.19,0.14,0.01,0.01,-0.01,0.02,0.01,0.0,0.08,0.11,0.21
1984-04-01,-0.06,0.04,0.09,0.04,0.03,0.0,0.01,0.0,0.0,0.02,0.02,0.14
1984-07-01,0.0,0.0,-0.07,0.02,0.07,0.0,0.0,0.0,0.0,-0.02,-0.02,0.0
1984-10-01,0.0,0.0,0.0,-0.12,-0.03,0.04,-0.0,-0.0,0.0,0.0,-0.17,0.13
1985-01-01,-0.12,-0.05,-0.02,-0.0,-0.11,-0.06,-0.0,0.0,0.0,-0.05,-0.07,0.0
1985-04-01,-0.05,0.06,0.03,-0.04,0.01,0.02,-0.0,0.0,0.0,-0.05,0.03,-0.1
1985-07-01,-0.05,0.03,0.0,0.05,-0.06,-0.04,-0.01,0.0,0.0,-0.03,-0.09,-0.03
1985-10-01,0.0,-0.06,-0.03,0.01,0.0,0.0,-0.0,0.0,0.0,-0.04,-0.03,-0.03
1986-01-01,0.05,0.09,0.09,-0.02,0.03,0.01,0.0,0.01,0.0,-0.04,0.0,-0.04
1986-04-01,-0.27,-0.31,-0.2,-0.07,-0.05,-0.03,0.0,-0.01,-0.01,0.0,-0.08,-0.04
1986-07-01,-0.06,0.06,0.06,-0.05,0.01,-0.02,0.01,-0.0,0.0,0.06,-0.15,-0.09
1986-10-01,-0.11,0.12,-0.06,-0.01,-0.05,-0.06,0.0,0.0,-0.0,0.0,0.06,0.0
1987-01-01,0.17,-0.08,-0.19,-0.07,0.14,0.03,-0.0,0.01,0.0,0.0,0.05,0.0
1987-04-01,0.32,0.47,0.36,0.04,0.0,-0.05,0.01,0.0,0.01,0.04,0.1,0.05
1987-07-01,0.05,0.0,0.0,-0.02,-0.02,0.08,0.01,0.0,0.01,0.0,0.12,0.04
1987-10-01,0.02,0.0,0.1,0.01,0.07,0.02,0.01,0.0,0.01,0.11,-0.04,0.0
1988-01-01,-0.05,-0.04,0.02,0.01,0.01,-0.08,0.0,0.0,0.01,0.0,0.0,0.03
1988-04-01,0.05,-0.03,-0.05,0.04,0.0,-0.04,0.01,0.0,0.0,-0.03,0.0,0.06
1988-07-01,0.02,0.0,0.0,0.03,0.06,0.03,0.0,0.0,-0.0,-0.03,0.1,-0.03
1988-10-01,0.02,0.02,0.0,0.01,0.02,0.03,0.0,-0.0,0.0,-0.09,0.03,-0.03
1989-01-01,0.02,0.05,-0.02,0.04,0.05,0.01,0.0,0.0,0.0,0.06,0.0,0.03
1989-04-01,0.02,0.07,0.02,-0.0,0.05,0.03,0.0,0.0,-0.0,-0.03,-0.03,-0.06
1989-07-01,-0.02,-0.02,0.06,-0.03,-0.03,-0.0,-0.01,0.0,-0.01,-0.08,-0.07,-0.03
1989-10-01,0.05,-0.04,-0.1,-0.02,0.0,-0.03,-0.0,-0.0,0.01,-0.05,-0.04,-0.04
1990-01-01,0.13,-0.02,0.02,-0.03,-0.01,-0.03,-0.01,0.01,0.0,-0.06,-0.1,-0.05
1990-04-01,-0.1,-0.02,0.02,-0.0,0.0,0.0,-0.0,0.0,0.01,-0.11,0.0,0.06
1990-07-01,0.02,0.07,-0.06,-0.02,0.01,-0.01,-0.0,0.0,0.0,-0.06,-0.06,0.12
1990-10-01,0.03,0.09,0.19,-0.01,0.01,-0.0,-0.01,0.0,0.0,-0.25,-0.14,-0.13
1991-01-01,-0.11,0.02,-0.03,-0.05,-0.06,-0.04,-0.0,-0.01,-0.01,-1.33,-0.4,-0.44
1991-04-01,0.0,-0.09,-0.05,-0.03,-0.02,-0.1,0.0,-0.01,-0.01,0.2,0.67,5.0
1991-07-01,-0.06,-0.06,0.04,-0.01,0.02,-0.02,0.0,0.01,0.01,0.0,0.0,0.17
1991-10-01,-0.18,-0.11,-0.14,-0.04,-0.04,-0.03,-0.0,0.01,0.0,-0.18,-0.08,-0.14
1992-01-01,-0.1,-0.03,0.11,-0.09,-0.08,-0.08,-0.01,-0.0,-0.0,-0.13,-0.11,0.0
1992-04-01,0.0,0.14,0.04,-0.06,-0.02,0.01,0.01,0.01,0.01,-2.0,-0.5,-0.43
1992-07-01,0.07,0.0,-0.06,-0.14,-0.02,0.02,0.01,0.0,0.0,0.25,0.0,1.0
1992-10-01,0.1,-0.03,-0.03,-0.04,-0.02,0.02,0.01,0.0,-0.0,0.33,0.2,0.0
1993-01-01,0.1,-0.03,-0.06,0.03,-0.06,-0.0,0.0,0.0,0.0,0.18,0.1,0.25
1993-04-01,0.07,-0.06,-0.03,-0.04,0.01,0.0,0.0,-0.0,0.0,0.13,-0.06,0.23
1993-07-01,-0.07,-0.06,0.0,0.01,0.01,0.01,0.0,0.0,-0.0,0.05,0.06,0.06
1993-10-01,0.0,0.0,0.0,-0.03,0.02,-0.01,0.01,0.0,-0.0,0.0,0.1,0.05
1994-01-01,-0.11,0.04,-0.04,0.03,-0.02,0.01,0.0,0.01,0.0,-0.04,0.08,0.04
1994-04-01,-0.11,0.08,0.0,0.07,0.03,0.07,0.01,0.01,0.0,0.0,0.2,0.0
1994-07-01,0.08,0.09,-0.04,0.0,0.06,0.13,0.0,0.01,0.01,0.0,0.07,0.0
1994-10-01,-0.13,0.03,0.07,0.01,0.06,0.05,0.01,0.0,0.01,-0.03,0.03,0.03
1995-01-01,0.12,0.0,0.0,0.01,0.03,0.11,0.0,0.01,0.01,0.0,-0.03,0.06
1995-04-01,0.11,-0.03,0.0,0.01,0.01,0.07,-0.0,0.0,-0.0,-0.09,-0.06,0.03
1995-07-01,-0.07,-0.03,0.0,-0.03,-0.0,-0.01,-0.0,0.0,0.0,-0.11,0.0,-0.1
1995-10-01,0.08,-0.04,-0.07,-0.01,0.01,-0.02,-0.0,0.0,0.01,0.0,-0.08,0.0
1996-01-01,0.12,-0.04,-0.04,-0.01,-0.03,0.01,-0.01,0.0,0.0,-0.17,-0.05,-0.14
1996-04-01,0.0,0.04,-0.04,-0.02,0.02,-0.06,0.01,-0.0,0.02,0.0,0.0,0.2
1996-07-01,0.04,0.0,0.0,0.02,0.01,0.0,-0.0,0.01,0.01,0.1,0.0,0.17
1996-10-01,0.03,0.07,-0.03,-0.01,0.02,-0.03,-0.0,0.01,0.01,0.05,-0.09,0.0
1997-01-01,-0.12,0.03,0.06,-0.01,-0.0,0.01,0.0,0.01,0.01,0.08,0.0,0.09
1997-04-01,-0.14,-0.07,0.0,0.02,0.04,-0.01,0.0,0.01,0.01,0.04,0.0,-0.04
1997-07-01,0.0,0.0,-0.08,-0.01,0.01,-0.0,0.01,0.0,0.01,0.04,-0.04,0.0
1997-10-01,-0.05,-0.04,0.05,-0.01,0.0,0.0,0.01,0.01,0.01,0.04,0.08,-0.08
1998-01-01,-0.06,-0.11,-0.1,0.01,-0.0,0.0,0.01,0.0,0.01,0.04,0.04,0.0
1998-04-01,0.0,0.0,-0.13,-0.01,-0.0,-0.01,0.0,0.0,0.0,0.04,-0.07,-0.03
1998-07-01,0.06,-0.06,0.21,-0.0,0.01,0.01,-0.0,-0.01,0.01,0.0,0.0,-0.04
1998-10-01,0.07,-0.13,-0.06,-0.08,-0.01,0.0,0.01,-0.0,0.02,-0.04,-0.07,0.04
1999-01-01,0.06,0.07,0.0,-0.01,-0.03,-0.05,0.0,0.0,-0.0,-0.04,0.0,0.0
1999-04-01,0.35,0.0,0.0,-0.01,0.01,0.03,0.0,0.0,0.01,0.0,0.0,0.09
1999-07-01,0.05,-0.05,-0.09,0.05,0.0,0.0,0.01,-0.0,0.01,0.08,0.04,-0.08
1999-10-01,0.0,0.13,0.1,-0.0,0.03,0.02,0.01,-0.0,0.0,0.04,0.0,-0.08
2000-01-01,0.04,0.04,0.0,0.03,-0.02,0.04,0.0,0.01,0.0,0.04,0.0,0.0
2000-04-01,-0.21,0.19,0.14,0.03,0.02,0.05,0.01,0.0,0.0,-0.04,0.13,-0.12
2000-07-01,-0.03,0.19,0.03,0.0,0.04,0.04,-0.0,0.0,0.0,-0.12,-0.04,0.0
2000-10-01,0.0,0.03,-0.06,-0.0,0.0,-0.01,-0.0,0.0,-0.0,-0.15,-0.05,0.0
2001-01-01,0.09,0.0,-0.03,-0.07,-0.02,0.0,-0.01,-0.0,0.0,-0.07,-0.13,-0.06
2001-04-01,0.07,-0.14,-0.05,-0.1,-0.03,-0.08,-0.0,-0.0,-0.01,-0.56,-0.31,0.0
2001-07-01,-0.16,-0.11,0.12,-0.05,-0.06,-0.12,-0.01,-0.01,-0.01,-1.5,-0.33,-0.25
2001-10-01,-0.19,-0.04,0.0,-0.19,-0.16,-0.03,-0.0,-0.0,-0.0,0.75,3.0,0.0
2002-01-01,-0.25,-0.16,-0.1,-0.05,-0.13,-0.16,0.01,0.0,-0.0,0.08,0.18,0.57
2002-04-01,0.14,0.27,-0.08,0.01,-0.01,0.01,0.0,0.01,-0.0,-0.07,0.0,0.07
2002-07-01,0.36,-0.08,-0.25,-0.01,0.0,0.0,-0.0,0.01,0.0,0.0,0.0,-0.07
2002-10-01,0.33,-0.12,0.13,0.0,0.01,0.01,-0.0,0.0,0.0,-0.4,-0.17,-0.08
2003-01-01,0.12,0.09,0.15,0.0,-0.07,-0.23,0.01,-0.0,0.01,-0.5,0.0,-0.33
2003-04-01,-0.27,-0.03,0.11,0.01,-0.01,0.02,-0.01,-0.0,0.0,-0.25,0.33,0.5
2003-07-01,0.11,0.0,-0.14,-0.17,-0.03,0.0,0.0,0.0,0.0,-0.25,0.33,0.0
2003-10-01,-0.17,0.09,0.05,0.0,-0.02,0.02,0.0,0.01,-0.0,-0.5,-0.33,0.0
2004-01-01,0.0,0.05,-0.05,0.02,-0.02,-0.01,0.0,-0.0,0.01,0.0,-2.0,0.0
2004-04-01,0.35,0.0,-0.15,0.0,-0.01,0.01,0.0,-0.0,0.01,0.43,1.33,2.0
2004-07-01,-0.09,0.1,0.26,0.22,0.03,0.0,0.01,-0.01,0.01,0.17,0.09,0.1
2004-10-01,0.28,0.0,-0.14,0.09,0.13,0.13,0.01,0.0,0.0,0.07,0.08,-0.07
2005-01-01,-0.15,-0.08,0.12,0.06,0.12,0.1,0.0,0.01,0.0,0.0,-0.06,0.07
2005-04-01,0.06,0.03,0.11,0.06,0.05,0.1,0.0,-0.0,0.01,0.07,-0.12,0.13
2005-07-01,0.24,-0.14,-0.15,0.07,0.01,0.08,-0.0,0.0,0.0,0.06,0.13,-0.06
2005-10-01,-0.06,0.31,0.16,0.04,0.03,0.07,0.01,-0.02,0.0,-0.11,0.0,0.06
2006-01-01,0.21,0.0,-0.25,0.03,0.04,0.06,0.0,0.01,0.01,0.05,0.0,0.12
2006-04-01,0.06,-0.06,-0.1,0.04,0.02,0.05,0.0,0.0,0.0,-0.14,0.05,0.05
2006-07-01,-0.02,0.05,0.11,0.05,0.01,0.03,-0.0,0.0,-0.0,-0.06,-0.05,0.0
2006-10-01,-0.3,-0.49,-0.05,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.06,0.0,0.0
2007-01-01,-0.16,0.25,0.43,0.0,-0.0,0.0,-0.01,0.01,-0.0,-0.06,0.07,-0.06
2007-04-01,-0.07,0.17,0.14,-0.0,0.0,0.0,0.01,0.0,0.01,-0.08,0.0,-0.13
2007-07-01,-0.15,0.0,0.04,0.0,0.0,0.0,-0.0,0.0,0.0,-0.15,0.0,0.08
2007-10-01,0.29,0.47,-0.17,-0.04,-0.02,-0.05,-0.0,0.0,0.0,0.0,0.0,-0.09
2008-01-01,0.05,-0.07,0.22,-0.07,-0.06,-0.06,-0.0,0.0,0.01,-0.13,-0.11,-0.1
2008-04-01,-0.03,-0.02,-0.05,-0.13,-0.12,-0.24,-0.01,-0.0,-0.0,-0.67,-0.5,-0.14
2008-07-01,0.12,0.2,0.05,0.0,0.01,-0.13,-0.01,-0.0,-0.01,0.0,3.0,-2.0
2008-10-01,-0.26,-0.06,-0.04,-0.46,-0.09,-0.0,0.01,-0.04,-0.02,0.44,0.5,0.5
2009-01-01,0.0,-1.0,-0.7,-0.06,-0.59,-0.6,-0.02,-0.03,-0.01,0.19,0.3,0.54
2009-04-01,0.5,0.0,-1.0,-0.17,-0.18,0.47,-0.01,-0.02,-0.01,0.05,0.17,0.16
2009-07-01,0.67,0.2,0.67,-0.24,0.17,0.2,0.01,-0.0,-0.01,0.02,0.07,0.05
2009-10-01,-0.86,-0.07,-0.25,-0.2,-0.06,0.0,0.0,0.01,0.01,-0.04,-0.04,0.0
2010-01-01,-0.07,0.47,-10.5,-0.08,0.0,0.0,0.01,0.0,0.0,-0.14,-0.07,-0.13
2010-04-01,-0.04,0.05,-0.15,0.25,0.23,0.18,0.0,0.01,0.0,-0.4,-0.26,-0.16
2010-07-01,0.18,-0.45,-0.09,0.0,-0.1,0.0,0.0,0.0,0.01,-0.5,-0.33,-0.5
2010-10-01,0.09,-0.08,-0.08,0.0,0.0,0.06,-0.0,0.0,0.0,2.0,0.0,-1.0
2011-01-01,0.21,0.27,-0.08,-0.06,-0.05,0.0,-0.0,0.01,0.0,0.0,0.4,0.67
2011-04-01,0.19,0.24,0.24,-0.29,-0.12,-0.06,-0.0,0.01,-0.0,0.09,0.1,0.43
2011-07-01,0.03,0.0,0.13,-0.22,0.0,-0.1,0.01,0.0,0.0,0.09,0.38,-0.33
2011-10-01,-0.08,0.0,0.06,-0.12,-0.2,0.43,0.01,-0.0,0.01,0.0,0.15,0.08
2012-01-01,-0.03,-0.11,0.0,0.14,-0.12,0.14,0.01,0.01,-0.0,0.12,0.07,0.0
2012-04-01,-0.12,-0.1,-0.03,0.08,0.3,0.25,0.01,-0.0,0.0,-0.16,0.0,0.06
2012-07-01,-0.18,0.0,-0.26,0.0,0.0,0.14,0.0,-0.0,0.0,0.06,-0.06,0.06
2012-10-01,0.16,0.12,0.21,0.14,0.08,-0.19,0.0,0.0,-0.0,0.0,-0.06,0.0
2013-01-01,-0.06,0.0,-0.18,-0.12,0.0,0.0,-0.0,0.0,0.0,-0.12,0.06,0.0
2013-04-01,-0.27,-0.25,0.18,0.07,-0.07,0.07,-0.0,0.0,0.01,0.0,-0.06,0.07
2013-07-01,0.12,0.21,0.27,0.0,-0.18,-0.27,-0.0,0.0,0.0,0.06,0.0,0.07
2013-10-01,-0.18,-0.27,-0.21,0.12,0.0,-0.11,-0.0,0.01,0.01,0.0,0.0,0.0
2014-01-01,0.07,0.25,0.33,-0.22,0.12,-0.11,-0.0,0.0,0.0,0.06,-0.06,0.06
2014-04-01,0.25,0.45,-0.31,0.12,0.14,0.0,0.0,0.01,0.01,0.06,0.06,-0.11
2014-07-01,-0.05,-0.05,0.1,-0.1,0.11,0.0,0.0,0.0,0.0,0.05,0.06,0.0
2014-10-01,-0.06,0.0,-0.15,0.0,0.0,0.0,0.0,0.0,-0.0,0.05,0.05,-0.05
2015-01-01,-1.29,-0.42,-0.25,-0.08,0.33,0.0,-0.0,-0.0,0.01,0.0,0.1,-0.05
2015-04-01,0.0,-1.0,-0.5,0.09,0.0,0.0,-0.01,-0.0,-0.01,0.0,-0.09,0.05
2015-07-01,0.0,0.0,-1.0,0.0,0.08,0.0,0.01,-0.0,-0.0,0.05,0.0,0.0
2015-10-01,0.0,-1.0,0.0,-0.14,0.0,0.08,-0.0,-0.0,-0.0,0.05,-0.05,-0.09
2016-01-01,1.17,0.5,3.0,0.42,1.0,0.0,0.01,-0.01,-0.01,0.0,0.0,-0.05
2016-04-01,0.22,0.0,-0.31,0.03,-0.05,0.12,0.0,-0.01,-0.01,0.0,0.0,0.0
2016-07-01,-0.1,0.0,-0.09,0.03,0.03,0.0,0.0,0.0,-0.0,0.0,0.12,-0.16
2016-10-01,0.07,0.36,0.22,0.0,0.0,0.03,0.0,0.0,-0.0,-0.11,0.06,0.0
2017-01-01,0.19,0.24,0.06,0.2,0.32,0.02,0.0,0.01,-0.0,0.07,-0.12,0.0
2017-04-01,-0.08,-0.11,0.08,0.14,0.2,0.02,0.01,0.01,-0.0,-0.06,-0.11,0.12
2017-07-01,0.06,-0.11,-0.14,0.11,0.14,0.01,-0.0,0.0,0.0,-0.06,0.0,0.07
2017-10-01,-0.09,0.1,0.11,0.0,-0.01,0.01,0.02,0.0,-0.0,0.07,-0.13,0.07
2018-01-01,0.0,-0.05,0.1,0.08,0.12,0.01,-0.0,0.0,0.01,-0.07,-0.06,0.07
2018-04-01,0.04,0.05,0.05,0.12,0.06,0.01,0.01,0.01,0.0,-0.06,0.0,0.14
2018-07-01,0.0,0.04,0.17,0.05,0.07,0.01,0.0,0.01,-0.01,0.0,0.0,0.07
2018-10-01,0.04,-0.11,-0.07,0.12,0.02,0.0,0.0,0.0,0.01,0.0,-0.06,0.06
2019-01-01,-0.21,-0.14,-0.12,0.06,0.03,0.0,-0.0,0.0,0.01,0.06,0.07,-0.06
2019-04-01,0.05,0.27,0.0,0.0,0.0,0.0,-0.01,0.0,-0.01,0.0,0.0,-0.18
2019-07-01,0.06,-0.06,-0.1,0.01,-0.0,-0.01,-0.0,0.0,0.0,0.08,0.0,-0.14
2019-10-01,0.06,0.0,-0.06,-0.1,-0.04,-0.11,-0.0,-0.0,0.01,0.0,0.0,0.0
2020-01-01,0.09,0.15,0.11,0.0,0.0,-0.15,-0.0,-0.0,0.01,0.07,0.0,0.08
2020-04-01,-0.73,-0.35,-0.08,-0.92,-0.59,0.02,-0.13,-0.04,0.0,-27.8,-0.69,0.07
2020-07-01,0.43,2.5,-0.5,0.12,0.6,0.0,0.04,0.06,0.01,-0.11,-0.26,-0.13
